description1,description2,compatibility_score,game_type
"Агрессивный саппорт, люблю давить лайн","Активный поддержка, постоянно harass противника",0.85,dota2
"Тактический керри, фокусируюсь на фарме","Фармящий керри, играю на позднюю стадию",0.75,dota2
"Стратегический мидер, контролирую руны","Роам-мидер, постоянно гангаю лайны",0.8,dota2
"Пассивный саппорт, играю от защиты","Защитный саппорт, ставлю варды и хиллю",0.9,dota2
"Хард-керри, нуждаюсь в поддержке саппорта","Сейв-саппорт, играю на спасение союзников",0.95,dota2
"Роам-саппорт, постоянно ганкаю лайны","Агрессивный керри, начинаю драться с первых минут",0.7,dota2
"Фарм-мидер, фокусируюсь на своем экспириенсе","Темпо-мидер, контролирую руны и гангаю",0.65,dota2
"Снайпер в CS:GO, играю на AWP","Сupport-рифер, играю на подстраховке снайпера",0.75,csgo
"Энтри-фраггер, иду первым на сайт","Луркер, режу ротации и создаю неожиданности",0.8,csgo
"Дуэлянт в Valorant, открываю фраги","Контроллер, помогаю дуэлянту заходить на сайт",0.85,valorant
"Контроллер, ставлю смоки и контролирую зоны","Дуэлянт, работаю в паре с контроллером",0.8,valorant
"Ингейм-лидер, разрабатываю тактики","Рифлер, выполняю тактические указания лидера",0.75,csgo
"Агрессивный керри, начинаю драться с первых минут","Агрессивный саппорт, давим лайн с первых секунд",0.9,dota2
"Защитный саппорт, спасаю тиммейтов в драках","Хард-керри, нуждаюсь в защите саппорта",0.85,dota2
"Темпо-мидер, контролирую руны и гангаю","Роам-саппорт, помогаю мидеру гангать",0.8,dota2
"Луркер в CS, режу ротации противника","Снайпер, занимаю позиции на второй линии",0.7,csgo
"Страж в Valorant, защищаю тылы команды","Инициатор, разведываю позиции противника",0.75,valorant
"Универсальный керри, адаптируюсь под ситуацию","Вардящий саппорт, обеспечиваю видимость для керри",0.8,dota2
"Инициатор-саппорт, начинаю выгодные драки","Универсальный керри, подстраиваюсь под инициативы",0.85,dota2
"Пуш-мидер, разрушаю башни и создаю спейс","Защитный саппорт, прикрываю пуш-мидера",0.75,dota2
"Сupport-рифер, играю на подстраховке","Энтри-фраггер, открываю сайт для команды",0.8,csgo
"Смоук-мастер, блокирую обзор противнику","Дуэлянт, использую смоки для захода",0.85,valorant
"Спейс-керри, создаю давление на карте","Роам-саппорт, создаю спейс для керри",0.8,dota2
"Вардящий саппорт, контролирую карту","Стратегический керри, использую информацию с карты",0.75,dota2
"Стратег, читаю игру противника","Ингейм-лидер, координирую действия стратега",0.7,csgo
"Агрессивный дуэлянт, создаю пространство","Контроллер, создаю условия для дуэлянта",0.85,valorant
"Сейв-саппорт, играю на спасение союзников","Хард-саппорт, покупаю все необходимое для команды",0.9,dota2
"Фраггер, набираю много убийств за раунд","Страж, обеспечиваю безопасность фраггеру",0.75,valorant
"Темпо-керри, контролирую темп игры","Тактический саппорт, помогаю контролировать темп",0.8,dota2
"Роам-мидер, создаю давление на лайнах","Агрессивный саппорт, поддерживаю роам-мидера",0.85,dota2
"Агр сап, давлю лайн с первых секунд","Агрессивный саппорт, хараслю и контролирую линию",0.92,dota2
"Каррю на поздних героях, фармлю до 40 минуты","Поздний керри, максимальный фарм и выход в лейт",0.88,dota2
"Сапаю, ставлю варды и покупаю курьеров","Хард саппорт, вардование и сейвы для команды",0.91,dota2
"Роамлю по карте, организую ганги","Роам-саппорт, создаю давление на всех лайнах",0.87,dota2
"Мидер-ганкер, после 6 уровня гангаю","Темпо-мидер, контроль рун и постоянные ганги",0.82,dota2
"Фарм мид, фокус на экспе и предметах","Фармящий мидер, выхожу в мидгейм с ключевыми айтемами",0.84,dota2
"AWP снайпер, контролирую углы на карте","Снайпер на AWP, занимаю ключевые позиции",0.9,csgo
"Рифлер на входах, создаю спейс","Агрессивный рифлер, открываю фраги для команды",0.83,csgo
"Кидаю смоки и флешки, прикрываю тиммейтов","Саппорт в CS, подстраховка и утилити",0.86,csgo
"IGL, делаю calls и тактики","Ингейм-лидер, координирую раунды и стратегию",0.88,csgo
"Луркер, режу ротации и фланги","Скрытный игрок, неожиданные заходы с фланга",0.85,csgo
"Энтри, первым захожу на сайт","Энтри-фраггер, открываю территорию для тимы",0.89,csgo
"Контроллер на Омене, ставлю смоки","Контроллер Valorant, блокирую обзор и зоны",0.87,valorant
"Дуэлянт, агр стиль и открытие фрагов","Агрессивный дуэлянт, первым заходит на плент",0.86,valorant
"Страж, турели и защита флангов","Сентинел, контроль тылов и ловушки",0.84,valorant
"Инициатор, разведка и ослепление","Инициатор Valorant, подготовка захода на сайт",0.83,valorant
"Агрессивный керри, ранние драки","Пассивный фарм керри, избегаю ранних файтов",0.25,dota2
"Снайпер AWP, играю с дистанции","Энтри-фраггер, агрессивные заходы в упор",0.3,csgo
"Дуэлянт Valorant, открываю раунды","Страж, сижу на фланге и жду",0.35,valorant
"Фарм керри, не участвую в драках","Агрессивный роам-саппорт, постоянно в драках",0.4,dota2
"Токсичный флеймер, критикую всех","Спокойный саппорт, поддерживаю мораль команды",0.15,general
"Играю только соло, не коммуницирую","Командный игрок, постоянно в голосовом чате",0.2,general
"Ранговый гриндер, фармлю MMR","Казуальный игрок, играю для фана без напряга",0.3,general
