description1,description2,compatibility_score,game_type
"Пассивный саппорт, играю от защиты","Защитный саппорт, ставлю варды и хиллю",0.9,dota2
"Снайпер в CS:GO, играю на AWP","Сupport-рифер, играю на подстраховке снайпера",0.75,csgo
"Агрессивный дуэлянт, создаю пространство","Контроллер, создаю условия для дуэлянта",0.85,valorant
"Роамлю по карте, организую ганги","Роам-саппорт, создаю давление на всех лайнах",0.87,dota2
"Сupport-рифер, играю на подстраховке","Энтри-фраггер, открываю сайт для команды",0.8,csgo
"Инициатор-саппорт, начинаю выгодные драки","Универсальный керри, подстраиваюсь под инициативы",0.85,dota2
"Темпо-мидер, контролирую руны и гангаю","Роам-саппорт, помогаю мидеру гангать",0.8,dota2
"Дуэлянт, агр стиль и открытие фрагов","Агрессивный дуэлянт, первым заходит на плент",0.86,valorant
"Страж в Valorant, защищаю тылы команды","Инициатор, разведываю позиции противника",0.75,valorant
"Контроллер, ставлю смоки и контролирую зоны","Дуэлянт, работаю в паре с контроллером",0.8,valorant
"Универсальный керри, адаптируюсь под ситуацию","Вардящий саппорт, обеспечиваю видимость для керри",0.8,dota2
"Кидаю смоки и флешки, прикрываю тиммейтов","Саппорт в CS, подстраховка и утилити",0.86,csgo
"Сапаю, ставлю варды и покупаю курьеров","Хард саппорт, вардование и сейвы для команды",0.91,dota2
"Темпо-керри, контролирую темп игры","Тактический саппорт, помогаю контролировать темп",0.8,dota2
"Агрессивный саппорт, люблю давить лайн","Активный поддержка, постоянно harass противника",0.85,dota2
"Каррю на поздних героях, фармлю до 40 минуты","Поздний керри, максимальный фарм и выход в лейт",0.88,dota2
"Агр сап, давлю лайн с первых секунд","Агрессивный саппорт, хараслю и контролирую линию",0.92,dota2
"Роам-саппорт, постоянно ганкаю лайны","Агрессивный керри, начинаю драться с первых минут",0.7,dota2
"Агрессивный керри, начинаю драться с первых минут","Агрессивный саппорт, давим лайн с первых секунд",0.9,dota2
"Мидер-ганкер, после 6 уровня гангаю","Темпо-мидер, контроль рун и постоянные ганги",0.82,dota2
"Тактический керри, фокусируюсь на фарме","Фармящий керри, играю на позднюю стадию",0.75,dota2
"Энтри, первым захожу на сайт","Энтри-фраггер, открываю территорию для тимы",0.89,csgo
"Спейс-керри, создаю давление на карте","Роам-саппорт, создаю спейс для керри",0.8,dota2
"Стратегический мидер, контролирую руны","Роам-мидер, постоянно гангаю лайны",0.8,dota2
"Фарм мид, фокус на экспе и предметах","Фармящий мидер, выхожу в мидгейм с ключевыми айтемами",0.84,dota2
"Стратег, читаю игру противника","Ингейм-лидер, координирую действия стратега",0.7,csgo
"Рифлер на входах, создаю спейс","Агрессивный рифлер, открываю фраги для команды",0.83,csgo
"Ингейм-лидер, разрабатываю тактики","Рифлер, выполняю тактические указания лидера",0.75,csgo
"Вардящий саппорт, контролирую карту","Стратегический керри, использую информацию с карты",0.75,dota2
"Пуш-мидер, разрушаю башни и создаю спейс","Защитный саппорт, прикрываю пуш-мидера",0.75,dota2
"Инициатор, разведка и ослепление","Инициатор Valorant, подготовка захода на сайт",0.83,valorant
"Смоук-мастер, блокирую обзор противнику","Дуэлянт, использую смоки для захода",0.85,valorant
"Энтри-фраггер, иду первым на сайт","Луркер, режу ротации и создаю неожиданности",0.8,csgo
"Луркер в CS, режу ротации противника","Снайпер, занимаю позиции на второй линии",0.7,csgo
"Роам-мидер, создаю давление на лайнах","Агрессивный саппорт, поддерживаю роам-мидера",0.85,dota2
"IGL, делаю calls и тактики","Ингейм-лидер, координирую раунды и стратегию",0.88,csgo
"Снайпер AWP, играю с дистанции","Энтри-фраггер, агрессивные заходы в упор",0.3,csgo
"Играю только соло, не коммуницирую","Командный игрок, постоянно в голосовом чате",0.2,general
"Дуэлянт Valorant, открываю раунды","Страж, сижу на фланге и жду",0.35,valorant
"Токсичный флеймер, критикую всех","Спокойный саппорт, поддерживаю мораль команды",0.15,general
"Фарм керри, не участвую в драках","Агрессивный роам-саппорт, постоянно в драках",0.4,dota2
"Ранговый гриндер, фармлю MMR","Казуальный игрок, играю для фана без напряга",0.3,general
